iteration,t,algo,divided,path_redundancy
0,1500,KMeans,True,9.603603603603604
0,1550,none,False,28.023389021479712
0,1550,RND,True,20.079800498753116
0,1550,MIRW,True,31.105263157894736
0,1550,FFD,True,31.654450261780106
0,1550,KMeans,True,6.866101694915254
0,1600,none,False,50.01570289132602
0,1600,RND,True,35.71465968586387
0,1600,MIRW,True,52.68595041322314
0,1600,FFD,True,34.442622950819676
0,1600,KMeans,True,7.415652173913044
0,1650,none,False,84.78982797307404
0,1650,RND,True,79.0262467191601
0,1650,MIRW,True,78.2027397260274
0,1650,FFD,True,103.9672131147541
0,1650,KMeans,True,5.744500846023689
0,1700,none,False,55.50931677018634
0,1700,RND,True,37.98737373737374
0,1700,MIRW,True,69.59630606860158
0,1700,FFD,True,60.89238845144357
0,1700,KMeans,True,3.2016393442622952
